Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
Instrument Reporting agent identifier,739A72C9-5B13-0FFA-96C1-165B8D265BCF,2042,,A81E4DFE-4FFE-9FAD-6247-2B99C23A78FC,795,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,INSTRMNT_RPRTNG_AGNT_ID,07FA7549-D1B6-6672-43A5-DB27C4B42724,3636,Loan (excluding repurchase agreement) and advance derived data,P,F,Loan (excluding repurchase agreement) and advance may have Loan (excluding repurchase agreement) and advance derived data,3,60,,,
Instrument Reporting agent identifier,FF8AFEA5-8EE0-0BF7-5721-A14E5239C299,2043,,41AF9BCF-3A30-E769-02F3-A0FD1ACDC86E,907,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,INSTRMNT_RPRTNG_AGNT_ID,365628B6-B13E-792B-8D75-63894D513A0C,3739,Off-balance sheet item given instrument derived data,P,F,Off-balance sheet item given instrument may have Off-balance sheet item given instrument derived data,4,60,,,
Instrument Reporting agent identifier,7CB88BA5-62DB-1438-973C-DFF5898066BF,2044,,474EA1B1-88C5-D308-02FE-3F5149F8FFBC,745,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,INSTRMNT_RPRTNG_AGNT_ID,20D3B92F-5C1A-26E1-5ABF-5745C8A0E17C,3602,Instrument hedged by Exchange tradable derivative position,P,F,Instrument is hedged via Instrument hedged by Exchange tradable derivative position,15,60,,,
Instrument Reporting agent identifier,1D22A093-2A42-BD3F-79C3-4A84ADFC5955,2045,,7843E56A-D970-2EDE-467A-EBF530A20DE5,543,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,INSTRMNT_RPRTNG_AGNT_ID,13D88993-4CCB-284E-B7E5-20F449E8AD34,3418,Balance sheet recognised financial asset instrument derived data,P,F,Balance sheet recognised financial asset instrument may have Balance sheet recognised financial asset instrument derived data,4,60,,,
Instrument Reporting agent identifier,94E48331-EABB-4089-CDED-9542B70335A2,2046,,A2E89941-923C-5ECC-0300-D9EA03F91C87,963,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,INSTRMNT_RPRTNG_AGNT_ID,4EC43994-59BB-0C1B-D7FB-0602AB5657A8,3760,Over the counter (OTC) Derivative instrument Synthetic securitisation assignment,P,F,Over the counter (OTC) Derivative instrument comprises Tranche in a synthetic securitisation without securitisation special purpose entity (SSPE) being a financial guarantee via Over the counter (OTC) Derivative instrument Synthetic securitisation assignment,6,60,,,
Instrument role type,25388038-025D-99E8-CF86-3AB697F8D586,2047,,226B02E3-A364-4829-CFBA-1E41AF016F8E,750,Y,Domain,,,,,8e78f30b-610e-404e-97c5-60fa855125db,160,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Instrument role type,String,,,,,INSTRMNT_RL_TYP,,,Instrument role,P,,,4,1,,,
Instrument role type,1346F1CE-3B61-381A-F232-1377C9EE312C,2048,,048D458D-00B0-1F3C-D9A5-87EAE9C831CA,1040,Y,Domain,,,,,8e78f30b-610e-404e-97c5-60fa855125db,160,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Instrument role type,String,,,,,INSTRMNT_RL_TYP,1B86742D-6BA5-97B6-D891-3224F9FF53E1,3813,Renegotiated financial asset instrument with forbearance measure derived data,P,F,Renegotiated financial asset instrument with forbearance measure has Renegotiated financial asset instrument with forbearance measure derived data,1,1,,,
Instrument role type,A4DA0C8A-3DDF-014D-3296-5AFCADDA44C8,2049,,41AF9BCF-3A30-E769-02F3-A0FD1ACDC86E,907,Y,Domain,,,,,8e78f30b-610e-404e-97c5-60fa855125db,160,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Instrument role type,String,,,,,INSTRMNT_RL_TYP,365628B6-B13E-792B-8D75-63894D513A0C,3739,Off-balance sheet item given instrument derived data,P,F,Off-balance sheet item given instrument may have Off-balance sheet item given instrument derived data,1,1,,,
Instrument role type,A8ED8112-7A52-0D92-0E1E-BB4E35064981,2050,,7843E56A-D970-2EDE-467A-EBF530A20DE5,543,Y,Domain,,,,,8e78f30b-610e-404e-97c5-60fa855125db,160,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Instrument role type,String,,,,,INSTRMNT_RL_TYP,13D88993-4CCB-284E-B7E5-20F449E8AD34,3418,Balance sheet recognised financial asset instrument derived data,P,F,Balance sheet recognised financial asset instrument may have Balance sheet recognised financial asset instrument derived data,1,1,,,
Instrument type by origin,E6F132DD-310E-A45A-B11A-050E795B012C,2051,,54907B80-5ADD-5298-6AE7-54D1AC9CA6F6,742,Y,Domain,,,,,18e67227-ff3e-458a-8912-46488d4eb6dc,161,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Instrument type by origin,String,,,,,INSTRMNT_TYP_ORGN,,,Instrument,,,,5,1,,,
Instrument type by product,A4D61590-A861-618B-C636-A5A511479215,2052,,54907B80-5ADD-5298-6AE7-54D1AC9CA6F6,742,Y,Domain,,,,,91f8c6d1-aeb9-4245-a38d-57f80e30043a,162,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,Instrument type by product,String,,,,,INSTRMNT_TYP_PRDCT,,,Instrument,,,,4,3,,,
Interest rate,339683C3-2492-08DA-2F38-A34A988C216C,2053,,10E5A864-2FE8-8E4C-13A6-0C7ABB592427,592,Y,Domain,,,,,BC929BBF-3702-4146-9332-0B5F419F991E,318,LOGDT026,457,,,,,,,,,Y,Real numbers positive or negative with 6 decimals,DECIMAL,,,,,ANNLSD_AGRD_RT,,,Credit facility with interest rate,,,,4,,6,,
Interest rate,A7B23432-7004-B349-78EA-604FA48406D7,2054,,AC25CE06-349E-2EC8-DA05-FFD6B8759432,686,Y,Domain,,,,,BC929BBF-3702-4146-9332-0B5F419F991E,318,LOGDT026,457,,,,,,,,,Y,Real numbers positive or negative with 6 decimals,DECIMAL,,,,,ANNLSD_AGRD_RT,,,Financial asset instrument,,,,14,,6,,
Interest rate cap,47D928CD-3B5A-A8AE-D7FB-1A05D53C5D33,2055,,16D57908-E8B9-8516-87AA-062B454413AB,872,Y,Domain,,,,,BC929BBF-3702-4146-9332-0B5F419F991E,318,LOGDT026,457,,,,,,,,,Y,Real numbers positive or negative with 6 decimals,DECIMAL,,,,,INTRST_RT_CP,,,Non-fixed interest financial asset instrument,,,,2,,6,,
Interest rate floor,8E3E8F21-1BE8-CF7B-CCAC-7506B464AF9A,2056,,16D57908-E8B9-8516-87AA-062B454413AB,872,Y,Domain,,,,,BC929BBF-3702-4146-9332-0B5F419F991E,318,LOGDT026,457,,,,,,,,,Y,Real numbers positive or negative with 6 decimals,DECIMAL,,,,,INTRST_RT_FLR,,,Non-fixed interest financial asset instrument,,,,3,,6,,
