VARIABLE_SET_ID,VARIABLE_ID,VALID_FROM,VALID_TO,SUBDOMAIN_ID,IS_FLOW,ORDER
725273257492148005_REF,NMNL_VL_MX_CLLTRL_GRNT_CNSDRD,2013-12-01,9999-12-31,MNTRY,false,0
7526256445328679720_REF,TRNSFRD_TO_PRFT_LSS,2013-12-01,9999-12-31,MNTRY,false,0
7845788412536202589_REF,AMNT_USD,2013-12-01,9999-12-31,MNTRY,false,0
8000921335479731010_REF,AMNT_WRTTN_OFF_STTMNT_PRFT_LSS,2018-03-30,9999-12-31,MNTRY,false,0
8151035684663916366_REF,ESTMTD_LSS_PRD_DCRSS_ALLWNC,2013-12-01,9999-12-31,MNTRY,false,0
8237426778662573009_REF,INCRS_IA_ANCFV_CR_ACCRD_INTRST,2019-09-30,9999-12-31,MNTRY,false,0
8386035556766474584_REF,NGTV_FV,2018-03-30,9999-12-31,MNTRY,false,0
8531648081192822646_REF,PST_SRVC_CST,2013-12-01,9999-12-31,MNTRY,false,0
8732297734646917219_REF,BNFT_PD,2013-12-01,9999-12-31,MNTRY,false,0
8872822698139644453_REF,HLDNG_CMPNY_LEI,2013-12-01,9999-12-31,STRNG,false,0
909255488769815556_REF,ACCMLTD_CHNG_NGTV_FV_CR,2018-03-30,9999-12-31,MNTRY,false,0
9338417940411742131_REF,ISSNC_ORDNRY_SHRS,2013-12-01,9999-12-31,MNTRY,false,0
9346864144406551648_REF,OTSTNDNG_NMNL_AMNT,2013-12-01,9999-12-31,MNTRY,false,0
9348397123312128136_REF,CRRNT_PRD,2013-12-01,9999-12-31,MNTRY,false,0
9488831869283455922_REF,DFND_BNFT_OBLGTNS_INTRST_CST,2013-12-01,9999-12-31,MNTRY,false,0
9509836001316662777_REF,DT_ENTRY,2013-12-01,9999-12-31,DT,false,0
9544537712173802836_REF,GCA_EXPSR_DRCGNSD_EXCHNG_CLLTRL,2019-09-30,9999-12-31,MNTRY,false,0
9611914866463986113_REF,FV_CHNG,2013-12-01,9999-12-31,MNTRY,false,0
9677777298412393391_REF,INCRS_ALLWNC,2018-03-30,9999-12-31,MNTRY,false,0
9767750558645521852_REF,AI_ANCFV_CR_EXPSR_DRCGNSD_CLLTRL,2019-09-30,9999-12-31,MNTRY,false,0
9850692450922271703_REF,PSTV_FV,2018-03-30,9999-12-31,MNTRY,false,0
988632928423637155_REF,TYP_PRDNTL_CNSLDTN,2015-06-30,9999-12-31,CNSLDTN_MTHD_132501_REF_TYP_PRDNTL_CNSLDTN,false,0
MTRCS_F_00.01_MTRCS_REF,LVL_RPRTNG,2013-12-01,2021-06-29,LVL_RPRTNG_F_00.01_LVL_RPRTNG_REF,false,0
MTRCS_F_00.01_MTRCS_REF,ACCNTNG_FRMWRK,2013-12-01,2021-06-29,ACCNTNG_FRMWRK_F_00.01_ACCNTNG_FRMWRK_REF,false,1
MTRCS_F_00.01_MTRCS_REF,LVL_RPRTNG,2021-06-30,9999-12-31,LVL_RPRTNG_F_00.01_LVL_RPRTNG_REF,false,0
MTRCS_F_00.01_MTRCS_REF,ACCNTNG_FRMWRK,2021-06-30,9999-12-31,ACCNTNG_FRMWRK_F_00.01_ACCNTNG_FRMWRK_REF,false,1
MTRCS_F_01.01_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2021-06-29,MNTRY,false,0
MTRCS_F_01.01_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_01.02_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2021-06-29,MNTRY,false,0
MTRCS_F_01.02_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_01.03_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2021-06-29,MNTRY,false,0
MTRCS_F_01.03_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_02.00_MTRCS_REF,CRRNT_PRD,2020-06-30,2021-06-29,MNTRY,false,0
MTRCS_F_02.00_MTRCS_REF,CRRNT_PRD,2018-03-31,2020-06-29,MNTRY,false,0
MTRCS_F_02.00_MTRCS_REF,CRRNT_PRD,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_03.00_MTRCS_REF,OTHR_RCLSSFCTN_HDG_FRGN_OPRTN,2018-12-31,2021-06-29,MNTRY,false,0
MTRCS_F_03.00_MTRCS_REF,TRNSFRRD_INTL_CRRYNG_AMNT_HDGD,2018-12-31,2021-06-29,MNTRY,false,1
MTRCS_F_03.00_MTRCS_REF,OTHR_RCLSSFCTN_CSH_FLW_HDG,2018-12-31,2021-06-29,MNTRY,false,2
MTRCS_F_03.00_MTRCS_REF,TRNSFRD_TO_PRFT_LSS,2018-12-31,2021-06-29,MNTRY,false,3
MTRCS_F_03.00_MTRCS_REF,VLTN_GN_LSS_TKN_TO_EQTY,2018-12-31,2021-06-29,MNTRY,false,4
MTRCS_F_03.00_MTRCS_REF,CRRNT_PRD,2018-12-31,2021-06-29,MNTRY,false,5
MTRCS_F_03.00_MTRCS_REF,OTHR_RCLSSFCTN_HDG_FRGN_OPRTN,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_03.00_MTRCS_REF,TRNSFRRD_INTL_CRRYNG_AMNT_HDGD,2021-06-30,9999-12-31,MNTRY,false,1
MTRCS_F_03.00_MTRCS_REF,OTHR_RCLSSFCTN_CSH_FLW_HDG,2021-06-30,9999-12-31,MNTRY,false,2
MTRCS_F_03.00_MTRCS_REF,TRNSFRD_TO_PRFT_LSS,2021-06-30,9999-12-31,MNTRY,false,3
MTRCS_F_03.00_MTRCS_REF,VLTN_GN_LSS_TKN_TO_EQTY,2021-06-30,9999-12-31,MNTRY,false,4
MTRCS_F_03.00_MTRCS_REF,CRRNT_PRD,2021-06-30,9999-12-31,MNTRY,false,5
MTRCS_F_04.01_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2021-06-29,MNTRY,false,0
MTRCS_F_04.01_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.02.1_MTRCS_REF,ACCMLTD_CHNG_NGTV_FV_CR,2018-03-31,2021-06-29,MNTRY,false,0
MTRCS_F_04.02.1_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2021-06-29,MNTRY,false,1
MTRCS_F_04.02.1_MTRCS_REF,ACCMLTD_CHNG_NGTV_FV_CR,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.02.1_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,1
MTRCS_F_04.02.2_MTRCS_REF,ACCMLTD_CHNG_NGTV_FV_CR,2018-03-31,2021-06-29,MNTRY,false,0
MTRCS_F_04.02.2_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2021-06-29,MNTRY,false,1
MTRCS_F_04.02.2_MTRCS_REF,ACCMLTD_CHNG_NGTV_FV_CR,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.02.2_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,1
MTRCS_F_04.03.1_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2020-06-30,2021-06-29,MNTRY,false,0
MTRCS_F_04.03.1_MTRCS_REF,ACCMLTD_IMPRMNT,2020-06-30,2021-06-29,MNTRY,false,1
MTRCS_F_04.03.1_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2020-06-30,2021-06-29,MNTRY,false,2
MTRCS_F_04.03.1_MTRCS_REF,GRSS_CRRYNG_AMNT,2020-06-30,2021-06-29,MNTRY,false,3
MTRCS_F_04.03.1_MTRCS_REF,CRRYNG_AMNT,2020-06-30,2021-06-29,MNTRY,false,4
MTRCS_F_04.03.1_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2018-03-31,2020-06-29,MNTRY,false,0
MTRCS_F_04.03.1_MTRCS_REF,ACCMLTD_IMPRMNT,2018-03-31,2020-06-29,MNTRY,false,1
MTRCS_F_04.03.1_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2018-03-31,2020-06-29,MNTRY,false,2
MTRCS_F_04.03.1_MTRCS_REF,GRSS_CRRYNG_AMNT,2018-03-31,2020-06-29,MNTRY,false,3
MTRCS_F_04.03.1_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2020-06-29,MNTRY,false,4
MTRCS_F_04.03.1_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.03.1_MTRCS_REF,ACCMLTD_IMPRMNT,2021-06-30,9999-12-31,MNTRY,false,1
MTRCS_F_04.03.1_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2021-06-30,9999-12-31,MNTRY,false,2
MTRCS_F_04.03.1_MTRCS_REF,GRSS_CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,3
MTRCS_F_04.03.1_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,4
MTRCS_F_04.04.1_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2020-06-30,2021-06-29,MNTRY,false,0
MTRCS_F_04.04.1_MTRCS_REF,ACCMLTD_IMPRMNT,2020-06-30,2021-06-29,MNTRY,false,1
MTRCS_F_04.04.1_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2020-06-30,2021-06-29,MNTRY,false,2
MTRCS_F_04.04.1_MTRCS_REF,GRSS_CRRYNG_AMNT,2020-06-30,2021-06-29,MNTRY,false,3
MTRCS_F_04.04.1_MTRCS_REF,CRRYNG_AMNT,2020-06-30,2021-06-29,MNTRY,false,4
MTRCS_F_04.04.1_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2018-03-31,2020-06-29,MNTRY,false,0
MTRCS_F_04.04.1_MTRCS_REF,ACCMLTD_IMPRMNT,2018-03-31,2020-06-29,MNTRY,false,1
MTRCS_F_04.04.1_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2018-03-31,2020-06-29,MNTRY,false,2
MTRCS_F_04.04.1_MTRCS_REF,GRSS_CRRYNG_AMNT,2018-03-31,2020-06-29,MNTRY,false,3
MTRCS_F_04.04.1_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2020-06-29,MNTRY,false,4
MTRCS_F_04.04.1_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.04.1_MTRCS_REF,ACCMLTD_IMPRMNT,2021-06-30,9999-12-31,MNTRY,false,1
MTRCS_F_04.04.1_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2021-06-30,9999-12-31,MNTRY,false,2
MTRCS_F_04.04.1_MTRCS_REF,GRSS_CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,3
MTRCS_F_04.04.1_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,4
MTRCS_F_04.05_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2021-06-29,MNTRY,false,0
MTRCS_F_04.05_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.06_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2021-06-29,MNTRY,false,0
MTRCS_F_04.06_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.07_MTRCS_REF,ACCMLTD_CHNG_NGTV_FV_CR,2018-03-31,2021-06-29,MNTRY,false,0
MTRCS_F_04.07_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2021-06-29,MNTRY,false,1
MTRCS_F_04.07_MTRCS_REF,ACCMLTD_CHNG_NGTV_FV_CR,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.07_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,1
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2020-06-30,2021-06-29,MNTRY,false,0
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_IMPRMNT,2020-06-30,2021-06-29,MNTRY,false,1
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_CHNG_NGTV_FV_CR,2020-06-30,2021-06-29,MNTRY,false,2
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2020-06-30,2021-06-29,MNTRY,false,3
MTRCS_F_04.08_MTRCS_REF,GRSS_CRRYNG_AMNT,2020-06-30,2021-06-29,MNTRY,false,4
MTRCS_F_04.08_MTRCS_REF,CRRYNG_AMNT,2020-06-30,2021-06-29,MNTRY,false,5
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2018-03-31,2020-06-29,MNTRY,false,0
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_IMPRMNT,2018-03-31,2020-06-29,MNTRY,false,1
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_CHNG_NGTV_FV_CR,2018-03-31,2020-06-29,MNTRY,false,2
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2018-03-31,2020-06-29,MNTRY,false,3
MTRCS_F_04.08_MTRCS_REF,GRSS_CRRYNG_AMNT,2018-03-31,2020-06-29,MNTRY,false,4
MTRCS_F_04.08_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2020-06-29,MNTRY,false,5
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_IMPRMNT,2021-06-30,9999-12-31,MNTRY,false,1
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_CHNG_NGTV_FV_CR,2021-06-30,9999-12-31,MNTRY,false,2
MTRCS_F_04.08_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2021-06-30,9999-12-31,MNTRY,false,3
MTRCS_F_04.08_MTRCS_REF,GRSS_CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,4
MTRCS_F_04.08_MTRCS_REF,CRRYNG_AMNT,2021-06-30,9999-12-31,MNTRY,false,5
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2020-06-30,2021-06-29,MNTRY,false,0
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_IMPRMNT,2020-06-30,2021-06-29,MNTRY,false,1
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2020-06-30,2021-06-29,MNTRY,false,2
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_NGTV_VL_ADJSTMNT_MR,2020-06-30,2021-06-29,MNTRY,false,3
MTRCS_F_04.09_MTRCS_REF,GRSS_CRRYNG_AMNT,2020-06-30,2021-06-29,MNTRY,false,4
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_NGTV_VL_ADJSTMNT_CR,2020-06-30,2021-06-29,MNTRY,false,5
MTRCS_F_04.09_MTRCS_REF,CRRYNG_AMNT,2020-06-30,2021-06-29,MNTRY,false,6
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2018-03-31,2020-06-29,MNTRY,false,0
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_IMPRMNT,2018-03-31,2020-06-29,MNTRY,false,1
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_TTL_WRTFFS,2018-03-31,2020-06-29,MNTRY,false,2
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_NGTV_VL_ADJSTMNT_MR,2018-03-31,2020-06-29,MNTRY,false,3
MTRCS_F_04.09_MTRCS_REF,GRSS_CRRYNG_AMNT,2018-03-31,2020-06-29,MNTRY,false,4
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_NGTV_VL_ADJSTMNT_CR,2018-03-31,2020-06-29,MNTRY,false,5
MTRCS_F_04.09_MTRCS_REF,CRRYNG_AMNT,2018-03-31,2020-06-29,MNTRY,false,6
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_PRTL_WRTFFS,2021-06-30,9999-12-31,MNTRY,false,0
MTRCS_F_04.09_MTRCS_REF,ACCMLTD_IMPRMNT,2021-06-30,9999-12-31,MNTRY,false,1
