Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
Creditor provides Advance(s) via Advance Creditor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,9C023B32-EBAB-D54E-1768-465072103F52,3462,,Creditor,Advance Creditor assignment,,,*,1,Y,N,None,Y,D30824D1-0C3B-E54E-308D-941032A317C3,594,DFD3F649-FB8D-DEC1-5FD2-0A109F0FAB7B,520,4
Creditor provides Credit card debt via Credit card debt Creditor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,BE64568E-8B70-CCC2-B424-4B08DA791121,3463,,Creditor,Credit card debt Creditor assignment,,,*,1,Y,N,None,Y,D30824D1-0C3B-E54E-308D-941032A317C3,594,D74A184E-FD0B-BFCF-805F-052C4DD6AD65,581,4
Creditor provides Other commitment(s) via Other commitment Creditor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,D12119BD-00AB-7FC1-097F-E0501A4E8D04,3464,,Creditor,Other commitment Creditor assignment,,,*,1,Y,N,None,Y,D30824D1-0C3B-E54E-308D-941032A317C3,594,BC34A942-50AA-98C4-D237-EEE6BD494811,925,4
Creditor provides Other loan(s) via Other loan Creditor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,BB214538-F763-3F26-D48E-901F3A51E5B2,3465,,Creditor,Other loan Creditor assignment,,,*,1,Y,N,None,Y,D30824D1-0C3B-E54E-308D-941032A317C3,594,053AAD2F-0FEA-D5AE-2459-FE9EBEB05DEF,939,4
Currency is assiged to Security(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,49D046A2-0379-3156-87C5-3170E0AA5685,3466,,Currency,Security,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,6B9C4C46-5617-E783-1C65-FB2BF74222E9,1068,1
Currency is assigned to Cash leg(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,282E214D-83A6-BA4F-2E76-DE031D85494B,3467,,Currency,Cash leg,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,8B5F8783-EA52-0940-9099-E720E14B5ED1,550,1
Currency is assigned to Credit facility(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,5BEA60B6-14B6-CED6-E421-F0D542F2F9C7,3468,,Currency,Credit facility,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,1
Currency is assigned to Loan (excluding repurchase agreement),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,57F28A68-CA1A-514D-0113-AB0D48173C95,3469,,Currency,Loan (excluding repurchase agreement),,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,2F591A1C-DF86-8E7B-24D4-C62F809C445B,791,1
Currency is base currency for Foreign exchange risk factor for standardised approach,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,86B38E13-4CA1-76E8-212B-FF1C1865321A,3470,,Currency,Foreign exchange risk factor for standardised approach,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,D0C7796B-E5F7-9C50-E62C-FAACD75C2C2B,710,1
Currency is currency of record of Curvature,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,4C174DC6-3B8D-1489-9433-8774384A333F,3471,,Currency,Curvature,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,F967C86E-0099-13F5-8F87-78E669CCFD22,603,1
Currency is currency of record of Delta sensitivity,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,6CAC24B9-CF9F-19C4-F257-DDD3276C72AD,3472,,Currency,Delta sensitivity,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,4D9CD3E9-1041-6ADC-6DDC-FCF0393C5428,622,1
Currency is currency of record of Vega sensitivity,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,10EB90D8-2D58-330B-0D21-766AF8BD106F,3473,,Currency,Vega sensitivity,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,0558DA01-39E4-7E0A-EFF1-EA936D212868,1168,1
Currency is main currency for General interest rate risk (GIRR) factor for standardised approach,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,1CEFC288-D67B-E12D-E158-F81D7614075F,3474,,Currency,General interest rate risk (GIRR) factor for standardised approach,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,5F9389BD-1C3F-2C71-4DF3-6222586FF434,719,1
Currency is risk currency for Foreign exchange risk factor for standardised approach,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,7C5C114A-52ED-A78F-142B-6FE0C740E4DE,3475,,Currency,Foreign exchange risk factor for standardised approach,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,D0C7796B-E5F7-9C50-E62C-FAACD75C2C2B,710,1
Currency is second currency of General interest rate risk (GIRR) factor for standardised approach,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,EBC807B4-9256-8BF6-39A8-7AA85105AFF5,3476,,Currency,General interest rate risk (GIRR) factor for standardised approach,,,*,1,Y,Y,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,5F9389BD-1C3F-2C71-4DF3-6222586FF434,719,1
Currency is used as Currency collateral(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,1F5C39E6-78CB-174C-60B5-25E8AABE812D,3477,,Currency,Currency collateral,,,*,1,Y,N,None,N,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,DD50FD2D-91AF-6B56-1E8E-816DC618624A,600,1
Currency specifies Cash on hand(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,3348DEA8-D212-153B-5A27-7DE8F92A6D39,3478,,Currency,Cash on hand,,,*,1,Y,N,None,Y,D9FEFF2E-B32D-D101-FE35-DA78D0769518,599,ECF68788-373E-1D0F-3815-7A354DDD7269,551,1
Date / period of application of forbearance measure type classifies Long security position derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,8B41A431-13C6-779A-5EFA-0718C0E07399,3479,,Date / period of application of forbearance measure type,Long security position derived data,,,*,1,Y,N,None,N,CE538650-A61E-31B3-8BC0-34C2697C90B3,604,4580B4C6-27D9-1D6E-2463-DE8C7A594A3A,819,1
