CODE,NAME,DESCRIPTION,MEMBER_ID,DOMAIN_ID,MAINTENANCE_AGENCY_ID,LDM_ENTITY_CODE,LDM_ENTITY_NAME,LDM_LINKED_ENTITIES,
312,"Derivatives, Debt securities, Loans and advances, Equity instruments","Derivatives, Debt securities, Loans and advances, Equity instruments",TYP_INSTRMNT_312,TYP_INSTRMNT,ECB,,,
329,Other than option,Other than option,TYP_INSTRMNT_329,TYP_INSTRMNT,ECB,,,
380,Forward,Forwards are derivative contracts between two parties to buy or to sell an asset at a specified future time at a price agreed upon today,TYP_INSTRMNT_380,TYP_INSTRMNT,ECB,,,
390,Option,"Options are derivative contracts between two parties to facilitate a potential transaction on the underlying security at a preset price, referred to as the strike price, prior to the expiration date.",TYP_INSTRMNT_390,TYP_INSTRMNT,ECB,,,
5,Other OTC Derivative instrument,Other OTC Derivative instrument,TYP_INSTRMNT_5,TYP_INSTRMNT,ECB,,,
51,Credit card debt,"Credit card debt according to Regulation (EU) 1071/2013 concerning the balance sheet of the monetary financial institutions sector,  Annex II, Part 2, Instrument categories:,BIRD_CRDT_CRD_DBT_LDM,Credit card debt,
""...this category comprises credit granted [...] either via delayed debit cards, i.e. cards providing convenience credit as defined below, or via credit cards, i.e. cards providing convenience credit and extended credit. .Credit card debt is recorded on dedicated card accounts and therefore not evident on current or overdraft accounts. Convenience credit is defined as the credit granted at an interest rate of 0 % in the period between the payment transactions effectuated with the card during one billing cycle and the date at which the debit balances from this specific billing cycle become due. Extended credit is defined as the credit granted after the due dates of the previous billing cycles have passed, i.e. debit amounts on the card account that have not been settled when this was first possible, for which an interest rate or tiered interest rates usually greater than 0 % are charged. Often minimum instalments per month have to be made, to at least partially repay extended credit.,,,
The counterpart to these forms of credit is the entity liable to eventually repay the amounts outstanding in accordance with the contractual agreement, which coincides with the cardholder in the case of privately used cards, but not in the case of company cards;""",TYP_INSTRMNT_51,TYP_INSTRMNT,ECB,,,
511,Tranferable overnight deposits,,TYP_INSTRMNT_511,TYP_INSTRMNT,ECB,,,
512,Non-transferable overnight deposits,Non-transferable overnight deposits,TYP_INSTRMNT_512,TYP_INSTRMNT,ECB,,,
522,Deposits with agreed maturity - other than counterpart liability to non-derecognised loans,Deposits with agreed maturity - other than counterpart liability to non-derecognised loans,TYP_INSTRMNT_522,TYP_INSTRMNT,ECB,,,
547,"Deposits other than current accounts (liabilities), repurchase agreements","Deposits other than current accounts (liabilities), repurchase agreements",TYP_INSTRMNT_547,TYP_INSTRMNT,ECB,,,
549,Deposits,Deposits,TYP_INSTRMNT_549,TYP_INSTRMNT,ECB,,,
