CELL_ID,AXIS_ORDINATE_ID
2739795_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739795_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_180
2739796_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739796_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_190
2739797_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739797_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_200
2739798_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739798_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_210
2739799_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739799_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
2739800_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739800_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_230
2739801_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739801_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_240
2739802_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739802_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_010
2739803_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739803_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_020
2739804_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739804_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_030
2739805_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739805_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_040
2739806_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739806_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_050
2739807_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739807_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
2739808_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739808_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_070
2739809_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739809_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_080
2739810_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739810_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_090
2739811_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739811_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_100
2739812_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739812_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_110
2739813_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739813_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_120
2739814_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739814_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_130
2739815_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739815_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_140
2739816_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739816_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_150
2739817_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739817_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_160
2739818_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739818_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_170
2739819_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739819_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_180
2739820_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739820_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_190
2739821_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739821_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_200
2739822_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739822_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_210
2739823_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739823_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
2739824_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
